City_ID,City,Country,Max Temp,Weather description,Lat,Lon,Hotel Name
638,Akdepe,TM,77.09,scattered clouds,42.0551,59.3788,Мой дом
640,Islamkot,PK,83.86,broken clouds,24.6997,70.17699999999999,Haji Hotel
642,Labuan,MY,89.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
647,Topolobampo,MX,85.91,clear sky,25.6,-109.05,Hotel Marina Topolobampo
648,Noumea,NC,75.18,clear sky,-22.2763,166.4572,Hôtel Le Lagon
651,Rio Rancho,US,80.74,clear sky,35.2334,-106.6645,Hilton Garden Inn Albuquerque North/Rio Rancho
652,Oranjestad,AW,80.55,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
657,Abu Dhabi,AE,89.62,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
659,Muli,MV,84.15,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
660,Kapoeta,SS,79.23,overcast clouds,4.7717,33.5903,Eastgate Hotel
662,Morro Bay,US,75.74,few clouds,35.3658,-120.8499,Inn at Morro Bay
663,Dalbandin,PK,89.08,clear sky,28.8947,64.4101,Sanjrani House
664,Obra,IN,76.73,overcast clouds,24.4167,82.9833,Hotel Vishal
669,Dhaka,BD,82.38,broken clouds,23.7104,90.4074,Main Hostel SSMC
673,Cumberland,US,84.7,few clouds,35.0502,-78.8664,American Eagle Inn
