City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Pevek,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
152,Tautira,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
153,Tolaga Bay,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
154,Mangai,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
155,Tuensang,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
156,San Patricio,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
157,Ambilobe,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
158,Kasungu,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
159,Tazmalt,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
160,Pemba,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
161,Fershampenuaz,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
162,Ambon,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
163,Roald,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
164,Kibala,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
165,Vanimo,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
166,Krasnoarmeysk,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
167,Tombouctou,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
168,Nizhniy Chir,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
169,Paamiut,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
170,Blacksburg,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
171,Port Moresby,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
172,Saint George,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
173,Suzhou,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
174,Belyy Yar,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
175,Loreto,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
176,Palmer,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
177,Hobart,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
178,Arlit,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
179,Kamenka,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
180,Mahebourg,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
181,Iguape,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
182,Agua Verde,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
183,Bababe,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
184,Bardiyah,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
185,Narsaq,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
186,Nome,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
187,Attawapiskat,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
188,Meghraj,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
189,Mushie,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
190,Lompoc,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
191,Hovd,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
192,Lima,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
193,Mys Shmidta,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
194,Belushya Guba,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
195,Bambous Virieux,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
196,Mount Isa,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
197,Ler,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
198,Yulara,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
199,Amderma,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
200,Campbeltown,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
201,Cidreira,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
202,Nemuro,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
203,Avera,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
204,Scarborough,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
205,Sisimiut,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
206,Saskylakh,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
207,Saint-Pierre,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
208,Kudahuvadhoo,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
209,Gat,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
210,San Andres,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
211,Porto Novo,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
212,Honiara,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
213,Buon Me Thuot,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
214,Saint-Joseph,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
215,Ostersund,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
216,Camarzana,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
217,Hualmay,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
218,Darlawn,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
219,Tual,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
220,Grindavik,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
221,Sao Luiz Gonzaga,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
222,North Bend,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
223,Zhanatas,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
